threshold,precision,recall,f1
0.01,0.09862778730703259,0.057100297914597815,0.07232704402515723
0.02,0.10912343470483005,0.03028798411122145,0.04741546832491255
0.03,0.0891891891891892,0.01638530287984111,0.027684563758389263
0.04,0.07942238267148015,0.010923535253227408,0.01920558707987778
0.05,0.06437768240343347,0.007447864945382324,0.01335113484646195
0.060000000000000005,0.06403940886699508,0.006454816285998014,0.011727559765448805
0.06999999999999999,0.06382978723404255,0.005958291956305859,0.010899182561307902
0.08,0.05263157894736842,0.004468718967229395,0.008237986270022883
0.09,0.05555555555555555,0.004468718967229395,0.008272058823529412
0.09999999999999999,0.06,0.004468718967229395,0.00831792975970425
0.11,0.04895104895104895,0.003475670307845084,0.006490496059341678
0.12,0.0364963503649635,0.0024826216484607746,0.004649000464900047
0.13,0.015748031496062992,0.0009930486593843098,0.0018682858477347033
0.14,0.016129032258064516,0.0009930486593843098,0.0018709073900841909
0.15000000000000002,0.016666666666666666,0.0009930486593843098,0.0018744142455482662
0.16,0.017543859649122806,0.0009930486593843098,0.0018796992481203006
0.17,0.017857142857142856,0.0009930486593843098,0.0018814675446848542
0.18000000000000002,0.009259259259259259,0.0004965243296921549,0.000942507068803016
0.19,0.009433962264150943,0.0004965243296921549,0.0009433962264150943
0.2,0.00980392156862745,0.0004965243296921549,0.000945179584120983
0.21000000000000002,0.010101010101010102,0.0004965243296921549,0.000946521533364884
0.22,0.010309278350515464,0.0004965243296921549,0.0009474182851729038
0.23,0.010526315789473684,0.0004965243296921549,0.000948316737790422
0.24000000000000002,0.010752688172043012,0.0004965243296921549,0.0009492168960607499
0.25,0.011363636363636364,0.0004965243296921549,0.0009514747859181732
0.26,0.011904761904761904,0.0004965243296921549,0.0009532888465204957
0.27,0.012048192771084338,0.0004965243296921549,0.0009537434430138292
0.28,0.0,0.0,0.0
0.29000000000000004,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.37,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.39,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.43,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.47000000000000003,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.49,0.0,0.0,0.0
0.5,0.0,0.0,0.0
