model,validation_roc_auc,validation_pr_auc
balanced_depth4,0.5470454042605561,0.05694140920555904
balanced_depth5,0.5345694413046373,0.05583132320629437
regularized_depth4,0.5089253693333049,0.05276972266450096
regularized_depth5,0.527071032114957,0.0523290414891384
