threshold,precision,recall,f1
0.01,0.5276273022751896,0.945631067961165,0.6773296244784422
0.02,0.5346534653465347,0.9436893203883495,0.6825842696629213
0.03,0.5442329227323628,0.9436893203883495,0.6903409090909091
0.04,0.5486425339366516,0.941747572815534,0.6933523945675483
0.05,0.5577367205542725,0.9378640776699029,0.6994931209268646
0.060000000000000005,0.5604651162790698,0.9359223300970874,0.7010909090909091
0.06999999999999999,0.5648584905660378,0.9300970873786408,0.7028613352898019
0.08,0.5731414868105515,0.9281553398058252,0.7086730911786508
0.09,0.5765983112183354,0.9281553398058252,0.7113095238095238
0.09999999999999999,0.5841584158415841,0.916504854368932,0.7135298563869993
0.11,0.58625,0.9106796116504854,0.7133079847908745
0.12,0.5949044585987261,0.9067961165048544,0.7184615384615385
0.13,0.5959079283887468,0.9048543689320389,0.7185813415574402
0.14,0.5989650711513583,0.8990291262135922,0.718944099378882
0.15000000000000002,0.6005256241787122,0.887378640776699,0.7163009404388715
0.16,0.6015831134564644,0.8854368932038835,0.7164179104477612
0.17,0.6063829787234043,0.8854368932038835,0.7198105761641673
0.18000000000000002,0.6088709677419355,0.8796116504854369,0.7196187450357426
0.19,0.6086369770580297,0.8757281553398059,0.7181528662420382
0.2,0.6122448979591837,0.8737864077669902,0.72
0.21000000000000002,0.6157024793388429,0.8679611650485437,0.7203867848509267
0.22,0.6185852981969486,0.8660194174757282,0.7216828478964401
0.23,0.6167832167832168,0.8563106796116505,0.7170731707317073
0.24000000000000002,0.6146272855133614,0.8485436893203884,0.7128874388254486
0.25,0.617231638418079,0.8485436893203884,0.7146361406377759
0.26,0.6196581196581197,0.8446601941747572,0.714872637633525
0.27,0.6217765042979942,0.8427184466019417,0.7155812036273702
0.28,0.625544267053701,0.8368932038834952,0.7159468438538206
0.29000000000000004,0.6271929824561403,0.8330097087378641,0.7155963302752294
0.3,0.6294117647058823,0.8310679611650486,0.7163179916317992
0.31,0.6324404761904762,0.8252427184466019,0.7160909856781803
0.32,0.6318926974664679,0.8233009708737864,0.715008431703204
0.33,0.6330827067669172,0.8174757281553398,0.7135593220338983
0.34,0.637329286798179,0.8155339805825242,0.7155025553662692
0.35000000000000003,0.6381679389312978,0.8116504854368932,0.7145299145299145
0.36000000000000004,0.6435185185185185,0.8097087378640777,0.7171109200343938
0.37,0.6474258970358814,0.8058252427184466,0.7179930795847751
0.38,0.6519685039370079,0.8038834951456311,0.72
0.39,0.6550632911392406,0.8038834951456311,0.7218831734960767
0.4,0.6592356687898089,0.8038834951456311,0.7244094488188977
0.41000000000000003,0.6602870813397129,0.8038834951456311,0.7250437828371279
0.42000000000000004,0.6613418530351438,0.8038834951456311,0.7256792287467134
0.43,0.6608,0.8019417475728156,0.724561403508772
0.44,0.6608,0.8019417475728156,0.724561403508772
0.45,0.6618589743589743,0.8019417475728156,0.7251975417032485
0.46,0.6661290322580645,0.8019417475728156,0.7277533039647577
0.47000000000000003,0.6704545454545454,0.8019417475728156,0.7303271441202476
0.48000000000000004,0.6721044045676998,0.8,0.7304964539007093
0.49,0.6721581548599671,0.7922330097087379,0.7272727272727273
0.5,0.6738410596026491,0.7902912621359224,0.7274352100089365
