threshold,precision,recall,f1
0.05,0.5390070921985816,0.8444444444444444,0.658008658008658
0.06,0.5430909966297545,0.8355555555555556,0.6583017216224103
0.07,0.5473735886107021,0.825925925925926,0.6583997638027753
0.08,0.551345962113659,0.8192592592592592,0.6591179976162098
0.09,0.5578680203045685,0.8140740740740741,0.6620481927710843
0.1,0.5658713692946058,0.8081481481481482,0.6656497864551556
0.11,0.5678365636458879,0.802962962962963,0.6652347345811599
0.12,0.5699947173798204,0.7992592592592592,0.6654332408263953
0.13,0.5755472504004271,0.7985185185185185,0.6689419795221843
0.14,0.581798483206934,0.7955555555555556,0.672090112640801
0.15,0.5852861035422343,0.7955555555555556,0.6744113029827316
0.16,0.5879120879120879,0.7925925925925926,0.6750788643533123
0.17,0.5908084163898117,0.7903703703703704,0.6761723700887199
0.18,0.5934188510875628,0.7881481481481482,0.6770601336302895
0.19,0.5967194570135747,0.7814814814814814,0.6767158434894163
0.2,0.5986316989737742,0.7777777777777778,0.6765463917525774
0.21,0.6002297530155083,0.774074074074074,0.6761565836298933
0.22,0.6017341040462427,0.7711111111111111,0.675974025974026
0.23,0.6048951048951049,0.7688888888888888,0.6771037181996086
0.24,0.6079009433962265,0.7637037037037037,0.6769533814839134
0.25,0.609338061465721,0.7637037037037037,0.6778435239973701
0.26,0.6102198455139631,0.7607407407407407,0.6772172766238048
0.27,0.6139088729016786,0.7585185185185185,0.6785950960901259
0.28,0.6163141993957704,0.7555555555555555,0.6788685524126455
0.29,0.6190476190476191,0.7511111111111111,0.678714859437751
0.3,0.6194581280788177,0.7451851851851852,0.6765299260255548
0.31,0.6211180124223602,0.7407407407407407,0.6756756756756757
0.32,0.622961104140527,0.7355555555555555,0.6745923913043478
0.33,0.6252377932783767,0.7303703703703703,0.6737273659036557
0.34,0.6281150159744409,0.7281481481481481,0.674442538593482
0.35,0.6282051282051282,0.725925925925926,0.6735395189003437
0.36,0.6315449256625727,0.7237037037037037,0.6744908526061443
0.37,0.6326397919375812,0.7207407407407408,0.6738227146814404
0.38,0.6352324819908317,0.7185185185185186,0.6743135210288494
0.39,0.6374423203691496,0.7162962962962963,0.6745727241018487
0.4,0.6396814863968149,0.7140740740740741,0.6748337416870843
0.41,0.6404269513008672,0.7111111111111111,0.6739206739206739
0.42,0.6427132303559436,0.7088888888888889,0.6741810496653752
0.43,0.6436781609195402,0.7051851851851851,0.673029338989042
0.44,0.6435374149659864,0.7007407407407408,0.6709219858156028
0.45,0.6458476321207962,0.697037037037037,0.6704666904168151
0.46,0.6481994459833795,0.6933333333333334,0.6700071581961345
0.47,0.6497214484679665,0.6911111111111111,0.6697774587221823
0.48,0.6510161177295024,0.6881481481481482,0.6690673388548793
0.49,0.6532485875706214,0.6851851851851852,0.6688358640636298
0.5,0.6536550745209369,0.6822222222222222,0.6676332004349402
0.51,0.6540656205420827,0.6792592592592592,0.6664244186046512
0.52,0.6563845050215208,0.6777777777777778,0.6669096209912536
0.53,0.6572871572871573,0.6748148148148149,0.6659356725146199
0.54,0.659173313995649,0.6733333333333333,0.6661780872114328
0.55,0.6588921282798834,0.6696296296296296,0.6642174871418075
0.56,0.6590909090909091,0.6659259259259259,0.6624907885040531
0.57,0.6617429837518464,0.6637037037037037,0.6627218934911243
0.58,0.6627131208302446,0.6622222222222223,0.662467580585402
0.59,0.6631892697466468,0.6592592592592592,0.6612184249628529
0.6,0.6636771300448431,0.6577777777777778,0.6607142857142857
0.61,0.6651651651651652,0.6562962962962963,0.6607009694258016
0.62,0.6649056603773585,0.6525925925925926,0.6586915887850467
0.63,0.6666666666666666,0.6503703703703704,0.6584176977877765
0.64,0.6661585365853658,0.6474074074074074,0.6566491359879789
0.65,0.6661550268610897,0.642962962962963,0.6543535620052771
0.66,0.6666666666666666,0.64,0.6530612244897959
0.67,0.6687402799377916,0.6370370370370371,0.6525037936267072
0.68,0.6697892271662763,0.6355555555555555,0.6522234891676169
0.69,0.670846394984326,0.6340740740740741,0.6519421172886519
0.7,0.6726986624704957,0.6333333333333333,0.652422739412438
0.71,0.6751188589540412,0.6311111111111111,0.6523736600306279
0.72,0.6764940239043825,0.6288888888888889,0.6518234165067178
0.73,0.6770833333333334,0.6259259259259259,0.6505003849114703
0.74,0.6793522267206478,0.6214814814814815,0.6491295938104449
0.75,0.6836065573770492,0.6177777777777778,0.6490272373540856
0.76,0.685690653432589,0.6140740740740741,0.6479093395857757
0.77,0.6890192791282481,0.6088888888888889,0.6464805348014157
0.78,0.6907391673746814,0.6022222222222222,0.6434507320933913
0.79,0.6915807560137457,0.5962962962962963,0.6404136833731106
0.8,0.694300518134715,0.5955555555555555,0.6411483253588517
0.81,0.6968641114982579,0.5925925925925926,0.6405124099279423
0.82,0.6977152899824253,0.5881481481481482,0.6382636655948553
0.83,0.6998223801065719,0.5837037037037037,0.6365105008077544
0.84,0.6995515695067265,0.5777777777777777,0.6328600405679513
0.85,0.7056672760511883,0.5718518518518518,0.6317512274959084
0.86,0.7071362372567191,0.5651851851851852,0.6282420749279539
0.87,0.71875,0.46,0.5609756097560976
0.88,0.7249114521841794,0.45481481481481484,0.5589440145653164
0.89,0.7284848484848485,0.4451851851851852,0.5526436781609195
0.9,0.7320987654320987,0.43925925925925924,0.549074074074074
0.91,0.7374371859296482,0.4348148148148148,0.5470643056849953
0.92,0.7454545454545455,0.42518518518518517,0.5415094339622641
0.93,0.7493333333333333,0.4162962962962963,0.5352380952380953
0.94,0.7544581618655692,0.4074074074074074,0.5291005291005291
0.95,0.7574468085106383,0.39555555555555555,0.5197080291970803
