model,roc_auc,pr_auc,precision,recall,f1,threshold
XGBoost,0.5421802119049826,0.5617366708573275,,,,
CNN,0.7332888518209619,0.7921226178318199,,,,
Fusion,0.7338383838383837,0.7946218863355068,0.6704244031830239,0.7488888888888889,0.7074877536738978,0.41000000000000003
