xgb_weight,magnetogram_weight,roc_auc,pr_auc
0.0,1.0,0.6750131282241374,0.7510395987164896
0.1,0.9,0.6759200568374881,0.7527204333182983
0.2,0.8,0.6761847836159762,0.7532047578641737
0.3,0.7,0.6762190714484292,0.7522599093233346
0.4,0.6,0.6760238470330213,0.7489514337280728
0.5,0.5,0.6759419886942823,0.7464841516246773
0.6,0.4,0.6748633120192753,0.7380165316224803
0.7,0.30000000000000004,0.6738383838383838,0.7286705388353466
0.8,0.19999999999999996,0.672975627838013,0.7165605080527692
0.9,0.09999999999999998,0.6730902295122478,0.7099719843468522
1.0,0.0,0.5421802119049826,0.5617366708573275
