threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.01,0.10468900229272983,0.5740064882400648,0.17708137862012885,89179,24211,2101,2831
0.02,0.10364171418061431,0.4570154095701541,0.16896551724137931,93896,19494,2678,2254
0.03,0.10407043095483941,0.38828061638280614,0.16414520207431535,96904,16486,3017,1915
0.04,0.10317460317460317,0.35056772100567724,0.1594283079760258,98361,15029,3203,1729
0.05,0.10280314156184152,0.3264395782643958,0.15636381294614674,99339,14051,3322,1610
0.060000000000000005,0.10327846735024285,0.3104217356042174,0.15499088884389553,100097,13293,3401,1531
0.06999999999999999,0.10319829424307037,0.2944038929440389,0.1528260183138617,100772,12618,3480,1452
0.08,0.10418211478570369,0.2848742903487429,0.15256813986317733,101309,12081,3527,1405
0.09,0.10430821494749845,0.27392538523925386,0.1510847685081637,101789,11601,3581,1351
0.09999999999999999,0.10408653846153847,0.26338199513381993,0.14920744314266024,102209,11181,3633,1299
0.11,0.10491830471925023,0.2564882400648824,0.1489198893401613,102598,10792,3667,1265
0.12,0.10508300530549375,0.24898621248986214,0.14779155132988325,102932,10458,3704,1228
0.13,0.1062251655629139,0.24391727493917276,0.14799778556929322,103268,10122,3729,1203
0.14,0.106425520312642,0.23742903487429035,0.1469720740508315,103558,9832,3761,1171
0.15000000000000002,0.10650997948144003,0.2315490673154907,0.14590519994889486,103810,9580,3790,1142
0.16,0.1059520397439572,0.2248580697485807,0.14403532696928373,104032,9358,3823,1109
0.17,0.10613437195715676,0.22100567721005676,0.143402183923168,104210,9180,3842,1090
0.18000000000000002,0.10646123260437376,0.21715328467153286,0.1428762006403415,104401,8989,3861,1071
0.19,0.10697579825096604,0.21330089213300893,0.14248950291209536,104608,8782,3880,1052
0.2,0.10643153526970954,0.20802919708029197,0.140818007136975,104776,8614,3906,1026
0.21000000000000002,0.10574177857671566,0.20275750202757503,0.13899506567516853,104933,8457,3932,1000
0.22,0.1045225051025889,0.19728304947283049,0.1366477073239239,105054,8336,3959,973
0.23,0.10443521957614157,0.19383617193836172,0.1357376118131478,105192,8198,3976,956
0.24000000000000002,0.10351324393217333,0.18937550689375507,0.13385883195987103,105301,8089,3998,934
0.25,0.10312640575798471,0.1859286293592863,0.13266782407407407,105415,7975,4015,917
0.26,0.10311395003992244,0.18329278183292783,0.13198043652821373,105527,7863,4028,904
0.27,0.10227666705188952,0.1794403892944039,0.13029076186970923,105622,7768,4047,885
0.28,0.10039924847346172,0.17335766423357665,0.1271564544913742,105729,7661,4077,855
0.29000000000000004,0.09954804947668887,0.16970802919708028,0.1254872563718141,105819,7571,4095,837
0.3,0.09936167650246899,0.16727493917274938,0.12466943709860219,105912,7478,4107,825
0.31,0.09782873871676019,0.16261151662611517,0.12216298552932216,105994,7396,4130,802
0.32,0.09692554636374862,0.15916463909164638,0.12048192771084337,106076,7314,4147,785
0.33,0.09636295463067117,0.15632603406326034,0.11922987705868708,106160,7230,4161,771
0.34,0.09609799217072863,0.1542984590429846,0.11843436308458485,106232,7158,4171,761
0.35000000000000003,0.09575417569807472,0.15227088402270883,0.11757338551859099,106298,7092,4181,751
0.36000000000000004,0.09471649484536082,0.14902676399026765,0.11582098959974788,106365,7025,4197,735
0.37,0.09382748270912175,0.14578264395782645,0.11417229059150456,106446,6944,4213,719
0.38,0.09263657957244656,0.14233576642335766,0.11223021582733812,106514,6876,4230,702
0.39,0.09218063141068336,0.14030819140308193,0.11126296326071228,106575,6815,4240,692
0.4,0.09203611373130306,0.13848337388483373,0.11058042580749615,106652,6738,4249,683
0.41000000000000003,0.09160201442765754,0.136455798864558,0.10961804707223716,106716,6674,4259,673
0.42000000000000004,0.09117161716171616,0.13442822384428224,0.10865290068829891,106781,6609,4269,663
0.43,0.09068184974309124,0.13240064882400648,0.10764031978900519,106842,6548,4279,653
0.44,0.09076879910213244,0.13118410381184104,0.10729684908789386,106909,6481,4285,647
0.45,0.09034179549000142,0.12915652879156528,0.10631728281732454,106976,6414,4295,637
0.46,0.08981521272024065,0.12712895377128955,0.10526315789473684,107036,6354,4305,627
0.47000000000000003,0.08912037037037036,0.12489862124898621,0.10401891252955082,107094,6296,4316,616
0.48000000000000004,0.08816231207123047,0.12246553122465531,0.10252058049732665,107143,6247,4328,604
0.49,0.08801884015307625,0.12124898621248986,0.10199556541019955,107194,6196,4334,598
0.5,0.08731808731808732,0.1192214111922141,0.10080576032916166,107244,6146,4344,588
0.51,0.08689779378658262,0.11739659367396593,0.0998706338939198,107306,6084,4353,579
0.52,0.08667979996969238,0.11597729115977291,0.0992108229988726,107363,6027,4360,572
0.53,0.08655757761125554,0.11476074614760746,0.09868363699764623,107417,5973,4366,566
0.54,0.08641975308641975,0.11354420113544202,0.09814230634419908,107470,5920,4372,560
0.55,0.08606173994387278,0.11192214111922141,0.09730301427815971,107528,5862,4380,552
0.56,0.08544852593410059,0.10989456609894566,0.0961419068736142,107589,5801,4390,542
0.5700000000000001,0.08561425843411839,0.10908353609083536,0.09593437945791726,107644,5746,4394,538
0.5800000000000001,0.08571428571428572,0.10827250608272507,0.0956817774592367,107694,5696,4398,534
0.59,0.08527508090614887,0.10685320356853203,0.09485241180705543,107737,5653,4405,527
0.6,0.08529796987557302,0.10563665855636659,0.0943840579710145,107803,5587,4411,521
0.61,0.08574260697174954,0.10523114355231143,0.09449248975876195,107856,5534,4413,519
0.62,0.08612040133779264,0.10442011354420114,0.09439149560117302,107925,5465,4417,515
0.63,0.08626522327469553,0.10340632603406326,0.09406123201770564,107988,5402,4422,510
0.64,0.08598290598290598,0.10198702351987024,0.09330365423854572,108043,5347,4429,503
0.65,0.08624870107377901,0.10097323600973236,0.09303194470390436,108114,5276,4434,498
0.66,0.08582939218777369,0.09935117599351176,0.09209660746170473,108171,5219,4442,490
0.67,0.08553682342502218,0.09772911597729116,0.09122740607551812,108237,5153,4450,482
0.68,0.08481581311769991,0.09570154095701541,0.08993045632085357,108297,5093,4460,472
0.6900000000000001,0.08533478893740902,0.09509326845093269,0.08995013425393172,108363,5027,4463,469
0.7000000000000001,0.08467072495849474,0.09306569343065693,0.08866995073891626,108428,4962,4473,459
0.7100000000000001,0.08436213991769548,0.09144363341443633,0.08776026464292663,108495,4895,4481,451
0.72,0.08435785889918669,0.09042984590429846,0.08728838438203347,108549,4841,4486,446
0.73,0.0850248946763692,0.09002433090024331,0.08745322040575143,108612,4778,4488,444
0.74,0.0856144437973209,0.08941605839416059,0.08747396608152336,108680,4710,4491,441
0.75,0.08606798978188249,0.08880778588807786,0.08741642550643648,108739,4651,4494,438
0.76,0.08580529564005575,0.08738848337388483,0.08658965344048217,108798,4592,4501,431
0.77,0.08522727272727272,0.0851581508515815,0.08519269776876268,108882,4508,4512,420
0.78,0.08570251339101771,0.08434712084347121,0.0850194154915185,108952,4438,4516,416
0.79,0.08612040133779264,0.08353609083536091,0.08480856319473035,109018,4372,4520,412
0.8,0.08633093525179857,0.0827250608272506,0.08448954234831228,109072,4318,4524,408
0.81,0.08629223154723477,0.08130575831305759,0.08372481469882033,109144,4246,4531,401
0.8200000000000001,0.0861275476660092,0.07968369829683698,0.08278041074249605,109220,4170,4539,393
0.8300000000000001,0.08626839054837271,0.07846715328467153,0.08218305372690593,109291,4099,4545,387
0.8400000000000001,0.0849762066621346,0.07603406326034064,0.08025682182985554,109352,4038,4557,375
0.85,0.08566797869877286,0.07502027575020276,0.07999135228623933,109441,3949,4562,370
0.86,0.08402366863905325,0.07197891321978914,0.07753631101889265,109520,3870,4577,355
0.87,0.0840213695968917,0.07015409570154096,0.07646408839779005,109618,3772,4586,346
0.88,0.08403569657907783,0.06873479318734793,0.07561900513049297,109695,3695,4593,339
0.89,0.08310038119440914,0.06630170316301703,0.07375662569076351,109782,3608,4605,327
0.9,0.08324607329842931,0.06447688564476886,0.0726691042047532,109888,3502,4614,318
0.91,0.08206933911159263,0.06143552311435523,0.07026901669758813,110001,3389,4629,303
0.92,0.08094435075885328,0.058394160583941604,0.06784452296819787,110120,3270,4644,288
0.93,0.08045977011494253,0.05535279805352798,0.06558558558558558,110270,3120,4659,273
0.9400000000000001,0.08004964318957493,0.052311435523114354,0.0632740649908032,110425,2965,4674,258
0.9500000000000001,0.07939133311280185,0.04866180048661801,0.06033940917661848,110607,2783,4692,240
0.9600000000000001,0.08106169296987087,0.045823195458231956,0.05854922279792746,110828,2562,4706,226
0.97,0.08124494745351657,0.04075425790754258,0.054280313259519306,111117,2273,4731,201
0.98,0.0892337536372454,0.0373073803730738,0.05261652845295968,111512,1878,4748,184
0.99,0.10959836623553437,0.03264395782643958,0.05030463990001562,112082,1308,4771,161
